lcia,value,unit,year,method
Acidification,0.017517460078006544,moles of H+-Eq,premise_base_ecoinvent_2020,TRACI2.1
Ecotoxicity,0.07751224879891785,"kg 2,4-D-Eq",premise_base_ecoinvent_2020,TRACI2.1
Eutrophication,1.5900187899181268e-05,kg N,premise_base_ecoinvent_2020,TRACI2.1
Global Warming,0.14093950177955125,kg CO2-Eq,premise_base_ecoinvent_2020,TRACI2.1
Carcinogenics,0.0009727472517350171,kg benzene-Eq,premise_base_ecoinvent_2020,TRACI2.1
Ozone Depletion,7.365845713043764e-09,kg CFC-11-Eq,premise_base_ecoinvent_2020,TRACI2.1
Photochemical Oxidation,0.00017226198782741605,kg NOx-Eq,premise_base_ecoinvent_2020,TRACI2.1
Non-Carcinogenics,1.7047486480611693,kg toluene-Eq,premise_base_ecoinvent_2020,TRACI2.1
"Respiratory Effects, Average",9.923897137456958e-05,kg PM2.5-Eq,premise_base_ecoinvent_2020,TRACI2.1
Alop,0.0028620253610361288,square meter-year,premise_base_ecoinvent_2020,RECIPE
Gwp100,0.1426979437861202,kg CO2-Eq,premise_base_ecoinvent_2020,RECIPE
Fdp,0.06020909007631607,kg oil-Eq,premise_base_ecoinvent_2020,RECIPE
Fetpinf,3.438467635760612e-05,"kg 1,4-DCB-Eq",premise_base_ecoinvent_2020,RECIPE
Fep,3.1214938048971782e-06,kg P-Eq,premise_base_ecoinvent_2020,RECIPE
Htpinf,0.01810336079147014,"kg 1,4-DCB-Eq",premise_base_ecoinvent_2020,RECIPE
Irp_He,0.037804111272866626,kg U235-Eq,premise_base_ecoinvent_2020,RECIPE
Metpinf,0.00025333267799997603,"kg 1,4-DB-Eq",premise_base_ecoinvent_2020,RECIPE
Mep,1.1870664831438731e-05,kg N-Eq,premise_base_ecoinvent_2020,RECIPE
Mdp,0.009580886292357918,kg Fe-Eq,premise_base_ecoinvent_2020,RECIPE
Nltp,1.2766635935989955e-05,square meter,premise_base_ecoinvent_2020,RECIPE
Odpinf,7.228074433087172e-09,kg CFC-11-Eq,premise_base_ecoinvent_2020,RECIPE
Pmfp,0.00014008833518343054,kg PM10-Eq,premise_base_ecoinvent_2020,RECIPE
Pofp,0.00034623931898955496,kg NMVOC-Eq,premise_base_ecoinvent_2020,RECIPE
Tap100,0.00029935238750651496,kg SO2-Eq,premise_base_ecoinvent_2020,RECIPE
Tetpinf,3.385990245121267e-05,"kg 1,4-DCB-Eq",premise_base_ecoinvent_2020,RECIPE
Ulop,0.008723628208622184,square meter-year,premise_base_ecoinvent_2020,RECIPE
Wdp,0.0019536742643190786,m3 water-Eq,premise_base_ecoinvent_2020,RECIPE
